Abra,Dabra,ab@cmu.edu,alkazam,student
Aegon,Targaeryn,at@cmu.edu,dragonqueen,student
Pikachu,Bulbasaur,cd@cmu.edu,mew,student
Davos,Seaworth,ds@cmu.edu,useless,student
Super,man,ef@cmu.edu,mewtwo,student
Eddard,Stark,es@cmu.edu,iamdeadtoo,student
Tangent,Secant,gh@cmu.edu,canberra,student
Jamie,Lannister,jl@cmu.edu,genocide,student
Jon,Snow,js@cmu.edu,kotn,student
Loras,Tyrell,lt@cmu.edu,iamdead,student
Robert,Baratheon,rb@cmu.edu,sadism,instructor
Samwell,Tarly,st@cmu.edu,loverboy,instructor
Walder,Frey,wf@cmu.edu,udontmess,instructor
